"Year","Pack","PackYear","WhelpDate","WhelpYday","PackSize","littersize","yrlsurv","Rain_PostDenningMonths","Rain_DenningMonths","mean_conception_temp","mean_max_conception_temp","mean_postdenning_temp","mean_max_postdenning_temp","mean_denning_temp","mean_max_denning_temp","mean_whelping_temp","max_whelping_temp","Rain_WhelpMonth","Rain_ConceptionMonth","WhelpDaysBeforeNadir","yearly_temp_mean","yearly_temp_max","denning_temp_mean","denning_temp_max","Sep_temp_mean","Sep_temp_max","May_temp_mean","May_temp_max","March_temp_mean","March_temp_max","May_rain","March_rain","prev_Sep_rain","Annual_rain","prev_yearly_temp_mean","prev_yearly_temp_max","prev_Annual_rain"
1997,"CHIT","CHIT-1997",1997-06-25,176,7,14,3,331.1,12.5,22.6058435555556,26.0646266666667,26.2598615195364,30.6578032093282,23.0573376139194,28.0348828571429,18.9651476666667,27.63163,0.6,15.1,-27,25.6906051480365,45.96173,23.6789343252723,41.38853,29.6159367777778,41.38853,20.4764902096774,30.28213,25.0983229569892,34.55943,10.5,110.7,2.6,437.6,26.7032711842441,45.26025,420.4
1998,"N.MOG","N.MOG-1998",1998-05-27,147,9,8,4,309.3,3.2,28.6302328888889,33.329882,26.2305075490788,30.6004546029983,23.4506235650183,28.4669392307692,23.565305,28.93024,2.1,43,192,27.5127418522831,42.79779,22.6125501843137,39.86994,27.1764664722222,39.86994,25.2150425,41.30861,30.651602688172,42.02707,2.1,43,11.6,375.4,25.6906051480365,45.96173,437.6
1998,"DANG","DANG-1998",1998-06-02,153,13,14,4,309.3,1.1,28.6077673333333,32.894706,26.2245942931562,30.5992634425319,23.5575981529304,28.4922683516484,23.4291475,32.93482,0.5,43,186,27.5127418522831,42.79779,22.6125501843137,39.86994,27.1764664722222,39.86994,25.2150425,41.30861,30.651602688172,42.02707,2.1,43,11.6,375.4,25.6906051480365,45.96173,437.6
1998,"CHIT","CHIT-1998",1998-06-05,156,14,10,6,358.2,8.2,30.2057134444444,34.5521053333333,26.214338737215,30.5873234036646,23.7618566602564,28.6081642857143,25.5748258333333,33.49071,0.5,43,183,27.5127418522831,42.79779,22.6125501843137,39.86994,27.1764664722222,39.86994,25.2150425,41.30861,30.651602688172,42.02707,2.1,43,11.6,375.4,25.6906051480365,45.96173,437.6
1998,"KAHLUA","KAHLUA-1998",1998-06-08,159,15,12,5,358.2,8.2,31.2637628333333,35.800178,26.2031362631266,30.5730742476402,23.9113152774725,28.6998628571429,22.5173141666667,28.51252,0.5,43,180,27.5127418522831,42.79779,22.6125501843137,39.86994,27.1764664722222,39.86994,25.2150425,41.30861,30.651602688172,42.02707,2.1,43,11.6,375.4,25.6906051480365,45.96173,437.6
1998,"MAXWEE","MAXWEE-1998",1998-06-09,160,11,5,0,716.4,16.4,31.3642092692308,35.958536,26.2027888144869,30.573274008884,23.9072803049451,28.6678861538462,22.3620783333333,27.78746,0.5,43,179,27.5127418522831,42.79779,22.6125501843137,39.86994,27.1764664722222,39.86994,25.2150425,41.30861,30.651602688172,42.02707,2.1,43,11.6,375.4,25.6906051480365,45.96173,437.6
1998,"N.MAX","N.MAX-1998",1998-06-09,160,12,12,2,716.4,16.4,31.3642092692308,35.958536,26.2027888144869,30.573274008884,23.9072803049451,28.6678861538462,22.3620783333333,27.78746,0.5,43,179,27.5127418522831,42.79779,22.6125501843137,39.86994,27.1764664722222,39.86994,25.2150425,41.30861,30.651602688172,42.02707,2.1,43,11.6,375.4,25.6906051480365,45.96173,437.6
1998,"MOWANA","MOWANA-1998",1998-07-05,186,8,5,NA,369.5,27.1,28.1600706111111,31.9985626666667,26.1479340842445,30.5400799500278,26.2709433672161,30.5994137362637,21.8474841666667,26.91812,0.3,14.1,153,27.5127418522831,42.79779,22.6125501843137,39.86994,27.1764664722222,39.86994,25.2150425,41.30861,30.651602688172,42.02707,2.1,43,11.6,375.4,25.6906051480365,45.96173,437.6
1998,"DUSTIN","DUSTIN-1998",1998-08-12,224,9,6,0,358.8,80.6,23.2834525555556,29.5565373333333,26.1771013495264,30.5734948917268,29.6374287479187,33.7740982417582,28.0674583333333,31.96125,0.3,0.5,115,27.5127418522831,42.79779,22.6125501843137,39.86994,27.1764664722222,39.86994,25.2150425,41.30861,30.651602688172,42.02707,2.1,43,11.6,375.4,25.6906051480365,45.96173,437.6
1999,"MOGOG","MOGOG-1999",1999-05-30,150,NA,NA,NA,345.5,10.2,25.6332107777778,29.12114,26.5529718015413,31.0571177679067,21.6689141071429,26.3320298901099,21.1556275,26.68421,8.7,49.2,12,25.5516828938356,46.83,25.0880722728758,41.30861,29.6714660277778,37.99639,22.400096155914,30.54974,25.9135377419355,35.68095,8.7,49.2,7.1,359.7,27.5127418522831,42.79779,375.4
1999,"CHIT","CHIT-1999",1999-06-03,154,NA,NA,NA,345.2,4.6,24.267224,27.27102,26.5487096818855,31.0510987562465,21.9060208653846,26.6082449450549,21.1136925,24.93003,1,49.2,8,25.5516828938356,46.83,25.0880722728758,41.30861,29.6714660277778,37.99639,22.400096155914,30.54974,25.9135377419355,35.68095,8.7,49.2,7.1,359.7,27.5127418522831,42.79779,375.4
2000,"MOGOG","MOGOG-2000",2000-05-10,131,NA,NA,NA,290.2,9.6,23.7114787222222,25.8653393333333,27.2865714885657,31.9711734092171,19.1655260064103,23.4035096703297,18.4084108333333,20.53338,7.2,103.4,27,24.6460884792805,45.35311,23.1736647685185,39.84107,28.0532550833333,39.84107,20.1395964516129,27.73704,24.1469334408602,29.84715,7.2,71.3,3.1,454.7,25.5516828938356,46.83,359.7
2000,"DANG","DANG-2000",2000-06-14,166,NA,NA,NA,348.8,7,23.416160465812,26.0298486666667,27.2821804307275,31.9955279233759,21.1792767408425,25.7790749450549,18.9019475,23.02258,1.5,31,-8,24.6460884792805,45.35311,23.1736647685185,39.84107,28.0532550833333,39.84107,20.1395964516129,27.73704,24.1469334408602,29.84715,7.2,71.3,3.1,454.7,25.5516828938356,46.83,359.7
2001,"TRAVOL","TRAVOL-2001",2001-05-18,138,NA,NA,NA,287.6,10.2,25.4958655555556,29.188062,27.3845116998397,32.1479091338146,20.3161290826923,24.9509038461538,20.06123,24.44719,7.7,59.1,64,25.8722988991553,43.40452,21.3608980506536,35.99729,26.9258148,35.99729,21.2198576639785,27.45594,25.0456585215054,35.06153,7.7,59.1,4.6,418.5,24.6460884792805,45.35311,454.7
